Country	Inst-u-key	Institution	Institution short name	Home page	Twitter Name	Twitter Hash	Name	Abbreviation
SYR	INST-U-5160	Aleppo University	Aleppo U	http://www.alepuniv.com		#AleppoU	Aleppo University	Aleppo U
EGY	INST-U-0766	Alexandria University - Faculty of Engineering	Alexandria U	http://eng.au.alexu.edu.eg	@AlexU.Edu.Eg	#AlexandriaU	Alexandria University - Faculty of Engineering	Alexandria U
EGY	INST-U-0387	Arab Academy for Science and Technology (Alexandria)	AAST Alexandria	http://www.aast.edu	@AASTMT	#AAST	Arab Academy for Science and Technology (Alexandria)	AAST Alexandria
PHL	INST-U-0400	Ateneo de Manila University	ADMU	http://www.admu.edu.ph		#AteneoDeManilau	Ateneo de Manila University	ADMU
CHN	INST-U-0211	Beihang University	BUAA	http://ev.buaa.edu.cn		#BUAA	Beihang University	BUAA
CHN	INST-U-0436	Beijing University of Posts and Telecommunications	BUPT	http://www.bupt.edu.cn		#BUPT	Beijing University of Posts and Telecommunications	BUPT
BLR	INST-U-0443	Belarusian State University	Belarusian SU	http://www.bsu.by	@BSU_official	#BelarusianSU	Belarusian State University	Belarusian SU
BLR	INST-U-0439	Belarusian State University of Informatics and Radioelectronics	BSUIR	http://www.bsuir.by	@BSUIRby	#BSUIR	Belarusian State University of Informatics and Radioelectronics	BSUIR
IND	INST-U-3819	Birla Institute of Technology & Science, Pilani Campus	BITS Pilani	http://www.bits-pilani.ac.in		#BITS	Birla Institute of Technology & Science, Pilani Campus	BITS Pilani
EGY	INST-U-2565	British University in Egypt	BUE	http://www.bue.edu.eg		#BUE	British University in Egypt	BUE
EGY	INST-U-3002	Cairo University - Faculty of Computers and Information	Cairo-FCI	http://www.fci.cu.edu.eg		#Cairo-FCI	Cairo University - Faculty of Computers and Information	Cairo-FCI
USA	INST-U-0501	California Institute of Technology	Caltech	http://www.caltech.edu		#Caltech	California Institute of Technology	Caltech
USA	INST-U-0519	Carnegie Mellon University	Carnegie Mellon	http://www.cmu.edu	@CarnegieMellon	#CMU	Carnegie Mellon University	Carnegie Mellon
CZE	INST-U-0551	Charles University in Prague	Charles U - Prague	http://www.cuni.cz	@UniKarlova	#UniKarlova	Charles University in Prague	Charles U - Prague
THA	INST-U-3163	Chulalongkorn University	Chulalongkorn U	http://www.chula.ac.th		#ChulalongkornU	Chulalongkorn University	Chulalongkorn U
SVK	INST-U-0604	Comenius University	Comenius U	http://www.uniba.sk		#ComeniusU	Comenius University	Comenius U
USA	INST-U-0609	Cornell University	Cornell	http://www.cornell.edu	@Cornell	#Cornell	Cornell University	Cornell
SYR	INST-U-0626	Damascus University	Damascus U	http://www.damascusuniversity.edu.sy		#DamasUniv	Damascus University	Damascus U
MEX	INST-U-0721	Escuela Superior De Computo Instituto Politecnico Nacional	ESCOM IPN	http://www.escom.ipn.mx	@ESCOM_IPN	#ESCOMIPN	Escuela Superior De Computo Instituto Politecnico Nacional	ESCOM IPN
CHE	INST-U-0710	ETH Zürich	ETH Zürich	http://www.ethz.ch	@ETH	#ETH	ETH Zürich	ETH Zürich
CHN	INST-U-0799	Fudan University	Fudan U	http://www.fudan.edu.cn	@FudanUniversity	#FudanU	Fudan University	Fudan U
USA	INST-U-0861	Harvard University	Harvard	http://www.harvard.edu	@Harvard	#Harvard	Harvard University	Harvard
VNM	INST-U-3853	Ho Chi Minh City University of Science	HCMUS	http://www.hcmus.edu.vn		#HCMUS	Ho Chi Minh City University of Science	HCMUS
USA	INST-U-0905	Illinois Institute of Technology	IIT-Chicago	http://www.iit.edu		#IllinoisTech	Illinois Institute of Technology	IIT-Chicago
GBR	INST-U-3316	Imperial College London	Imperial	http://www.imperial.ac.uk		#ImperialCollege	Imperial College London	Imperial
IND	INST-U-3507	Indian Institute of Information Technology - Allahabad	IIITA	http://www.iiita.ac.in		#IIITA	Indian Institute of Information Technology - Allahabad	IIITA
IND	INST-U-0915	Indian Institute of Technology - Bombay	IIT Bombay	http://www.iitb.ac.in		#IITBombay	Indian Institute of Technology - Bombay	IIT Bombay
IND	INST-U-0916	Indian Institute of Technology - Delhi	IIT Delhi	http://www.iitd.ernet.in		#IITDelhi	Indian Institute of Technology - Delhi	IIT Delhi
IND	INST-U-0917	Indian Institute of Technology - Kanpur	IIT Kanpur	http://www.iitk.ac.in		#IITKNP	Indian Institute of Technology - Kanpur	IIT Kanpur
IND	INST-U-0913	Indian Institute of Technology - Roorkee	IIT Roorkee	http://www.iitr.ernet.in	@iitroorkee	#IITRoorkee	Indian Institute of Technology - Roorkee	IIT Roorkee
RUS	INST-U-7105	Innopolis University	Innopolis	http://university.innopolis.ru		#InnopolisU	Innopolis University	Innopolis
MEX	INST-U-0962	Instituto Tecnológico Autónomo de México	ITAM	http://www.itam.mx		#ITAM	Instituto Tecnológico Autónomo de México	ITAM
USA	INST-U-1003	Iowa State University	Iowa State U	http://www.iastate.edu	@IowaStateU	#IowaStateU	Iowa State University	Iowa State U
IRN	INST-U-1016	Islamic Azad University of Mashhad	IAUM	http://en.mshdiau.ac.ir		#IAUM	Islamic Azad University of Mashhad	IAUM
MEX	INST-U-1036	ITESM Campus Monterrey	ITESM Monterrey	http://www.mty.itesm.mx	@TecdeMty	#CampusMty 	ITESM Campus Monterrey	ITESM Monterrey
POL	INST-U-1050	Jagiellonian University in Krakow	Jagiellonian	http://www.uj.edu.pl	@JagiellonskiUni	#Jagiellonski	Jagiellonian University in Krakow	Jagiellonian
BGD	INST-U-1053	Jahangirnagar University	JU	http://www.juniv.edu		#JUniv	Jahangirnagar University	JU
KOR	INST-U-1121	KAIST	KAIST	http://www.kaist.ac.kr	@kaistpr	#KAIST	KAIST	KAIST
PRK	INST-U-5861	Kim Il Sung University	RyongNamSan	http://www.ryongnamsan.edu.kp		#RyongNamSan	Kim Il Sung University	RyongNamSan
KOR	INST-U-1122	Korea University	Korea U	http://www.korea.ac.kr	@UniversityKorea	#KU	Korea University	Korea U
JPN	INST-U-1149	Kyoto University	Kyoto U	http://www.kyoto-u.ac.jp	@univkyoto	#KyotoU	Kyoto University	Kyoto U
UKR	INST-U-3024	Lviv National University	Lviv NU	http://franko.lviv.ua	@LNUIvanaFranka	#LNU	Lviv National University	Lviv NU
USA	INST-U-1220	Massachusetts Institute of Technology	MIT	http://web.mit.edu	@MIT	#MIT	Massachusetts Institute of Technology	MIT
RUS	INST-U-1280	Moscow Aviation Institute	MAI	http://www.mai.ru	@IntstudyMAI	#MAI	Moscow Aviation Institute	MAI
RUS	INST-U-1281	Moscow Engineering Physics Institute	MEPhI	http://www.mephi.ru		#MEPhI	Moscow Engineering Physics Institute	MEPhI
RUS	INST-U-1283	Moscow Institute of Physics & Technology	MIPT	http://www.mipt.ru	@phystech	#PhysTech	Moscow Institute of Physics & Technology	MIPT
RUS	INST-U-1295	Moscow State University	Moscow SU	http://msu.ru	@VA_Sadovnichiy	#MoscowStateU	Moscow State University	Moscow SU
TWN	INST-U-0557	National Chiao Tung University	NCTU	http://www.nctu.edu.tw		#NCTU	National Chiao Tung University	NCTU
TWN	INST-U-1347	National Taiwan University	National Taiwan U	http://www.ntu.edu.tw		#NationalTaiwanU	National Taiwan University	National Taiwan U
CHN	INST-U-1356	National University of Defense Technology	NUDT	http://www.nudt.edu.cn		#NUDT	National University of Defense Technology	NUDT
SGP	INST-U-1357	National University of Singapore	NUS	http://www.nus.edu.sg	@NUSingapore	#NUSingapore	National University of Singapore	NUS
CHN	INST-U-2741	Ningbo University	NBU	http://www.nbu.edu.cn		#NBU	Ningbo University	NBU
RUS	INST-U-1375	Nizhny Novgorod State University	UNN	http://www.unn.ac.ru		#UNN	Nizhny Novgorod State University	UNN
CHN	INST-U-2526	Northeastern University (China)	NEU	http://www.neu.edu.cn		#NEU	Northeastern University (China)	NEU
CHN	INST-U-1384	Northeast Normal University	NENU	http://www.nenu.edu.cn		#NENU	Northeast Normal University	NENU
RUS	INST-U-5261	Northern (Arctic) Federal University	NArFU	http://narfu.ru/en		#NArFU	Northern (Arctic) Federal University	NArFU
BGD	INST-U-1382	North South University	North South U	http://www.northsouth.edu		#NorthSouthU	North South University	North South U
USA	INST-U-1414	Ohio State University	Ohio State U.	http://www.osu.edu		#OhioState	Ohio State University	Ohio State U.
