team_id,peer,avatar
lperovskaya,lperovskaya,https://codeforces.com/userpic.codeforces.org/10442/title/616b6495b7287643.jpg
244mhq,244mhq-52,https://userpic.codeforces.org/243830/title/7e53a8a26fbd4327.jpg
Adam_GS,Adam_GS-64,https://userpic.codeforces.org/1454165/title/6b49fa608a6572a1.jpg
Agreb,Agreb-35,https://userpic.codeforces.org/no-title.jpg
Akulyat,Akulyat-83,https://userpic.codeforces.org/524773/title/ba4dff7888d71786.jpg
Amoo_Safar,Amoo_Safar-83,https://userpic.codeforces.org/719598/title/7959b1b279ae4796.jpg
Art.ogo,Art.ogo-81,https://userpic.codeforces.org/no-title.jpg
Burunduk1,Burunduk1-17,https://userpic.codeforces.org/347/title/5296d2a5b6328d89.jpg
DanielChang,DanielChang-07,https://userpic.codeforces.org/1190927/title/4c834ddeb391681e.jpg
Dominater069,Dominater069-86,https://userpic.codeforces.org/2716850/title/7d13621c709ac866.jpg
DylanSmith,DylanSmith-08,https://userpic.codeforces.org/1446889/title/9341c3760691cc79.jpg
Edu175,Edu175-53,https://userpic.codeforces.org/2374976/title/2481acf2040c12d6.jpg
Endagorion,Endagorion-24,https://userpic.codeforces.org/1643/title/f5f7e79239824557.jpg
Gassa,Gassa-05,https://userpic.codeforces.org/111/title/f89c32ca62a489e6.jpg
Geothermal,Geothermal-00,https://userpic.codeforces.org/no-title.jpg
Gheal,Gheal-14,https://userpic.codeforces.org/844396/title/fd0bde4f8d3a34c4.jpg
Golovanov399,Golovanov399-90,https://userpic.codeforces.org/10266/title/9805d4cac218acde.jpg
Hamed_Ghaffari,Hamed_Ghaffari-19,https://userpic.codeforces.org/no-title.jpg
Intellegent,Intellegent-45,https://userpic.codeforces.org/2239385/title/b876652e1944accf.jpg
Kaey,Kaey-57,https://userpic.codeforces.org/1152168/title/38bb954f5c8266d.jpg
Kira_1234,Kira_1234-84,https://userpic.codeforces.org/1439868/title/8e79d1568c3c8a40.jpg
Kriz_Wu,Kriz_Wu-08,https://userpic.codeforces.org/1738434/title/3c664627e76513f5.jpg
Mark_Pr,Mark_Pr-41,https://userpic.codeforces.org/no-title.jpg
McPqndq,McPqndq-61,https://userpic.codeforces.org/1745738/title/893b656751927ba8.jpg
Merkurev,Merkurev-74,https://userpic.codeforces.org/25275/title/69157c9adb6b410e.jpg
NickMish,NickMish-25,https://userpic.codeforces.org/no-title.jpg
Nikitosh,Nikitosh-99,https://userpic.codeforces.org/26416/title/3994826a7c0bb20e.jpg
OrangeEye,OrangeEye-17,https://userpic.codeforces.org/1397506/title/cad78cca0760d3b5.jpg
Ormlis,Ormlis-82,https://userpic.codeforces.org/1250517/title/d3b47822f3860824.jpg
Pacybwoah,Pacybwoah-62,https://userpic.codeforces.org/no-title.jpg
Petr,Petr-40,https://userpic.codeforces.org/664/title/c1ef9e749cad14a0.jpg
PvPro,PvPro-12,https://userpic.codeforces.org/2732288/title/bbda2631292ebf0c.jpg
RP-1,RP-1-92,https://userpic.codeforces.org/1722716/title/283dbe0cdda8c80f.jpg
