team_id,funny
GNY.26,0
GNY.18,1
GNY.35,2
GNY.20,3
GNY.24,4
GNY.23,5
GNY.22,6
GNY.29,7
GNY.34,8
GNY.19,9
GNY.30,10
GNY.31,11
GNY.21,12
GNY.32,13
GNY.28,14
GNY.37,15
GNY.36,16
GNY.27,17
GNY.25,18
GNY.33,19
KATTIS.133,---Prize Cutoff---
KATTIS.34,12 Slippers
KATTIS.177,200WPM
KATTIS.4,all my team name ideas are horrible
KATTIS.6,array_of_lancers
KATTIS.41,AUPurple
KATTIS.43,AUYellow
GNY.6,bar
KATTIS.26,Barbell
KATTIS.75,Bit by Bit
KATTIS.33,Black Eagles
KATTIS.30,Black Watch
KATTIS.112,Bulldogs
KATTIS.98,Terriers
KATTIS.117,Bridge Spam
KATTIS.19,Debuggers
KATTIS.21,Duckies
KATTIS.119,Team 1
KATTIS.104,Team 2
KATTIS.102,Team 3
KATTIS.39,Byte Us If You Can
KATTIS.10,CGT Last Dance
KATTIS.78,Champions of the West
KATTIS.70,Gold
KATTIS.81,Maroon
KATTIS.54,Team 06
KATTIS.55,Team 07
KATTIS.152,Concave
KATTIS.147,Red
KATTIS.73,Conquering Heroes
GNY.76,Cooked++
GNY.38,A
GNY.71,Alpha
GNY.75,Beta
GNY.85,Minh Phams
GNY.74,Altruistic Algorithm
KATTIS.27,Chester
KATTIS.29,Euclid
KATTIS.46,Blue
KATTIS.50,White
KATTIS.157,DALmatians
KATTIS.103,Dart Goggins
KATTIS.125,FCS-UNB
KATTIS.63,Fearless
GNY.13,"Few, but Ripe"
GNY.5,foo
KATTIS.36,1
KATTIS.42,2
KATTIS.76,Glory and Fame
KATTIS.174,Goose Overflow
KATTIS.85,GV Lakers
KATTIS.182,GVSU Blue
KATTIS.82,Hail! Hail!
KATTIS.101,2
KATTIS.114,67
KATTIS.111,Undergraduate Qualitative Traders
KATTIS.99,Waffles
KATTIS.38,Highlanders
GNY.87,Pride1
GNY.88,Pride2
KATTIS.100,Hog 2.6
KATTIS.105,HyperHogLog(6)
GNY.8,Infinite Recursion
KATTIS.11,Jam and Chocolate Donuts
KATTIS.84,Leaders and Best
KATTIS.107,Let Me Submit
KATTIS.109,letmeregister6
GNY.16,Likely AI
GNY.9,Likely Seg Tree
GNY.17,likely triple dipper
GNY.15,likely unnamed
KATTIS.141,Lizard Wizards
KATTIS.110,Log Bait
KATTIS.89,looking 4 job
KATTIS.80,Maize and Blue
KATTIS.175,Mammoths 1
KATTIS.178,Mammoths 2
KATTIS.23,Maple Syrup on Toast
KATTIS.146,Aquamarine
KATTIS.137,Blue
KATTIS.140,Burgundy
KATTIS.138,Chartreuse
KATTIS.151,Green
KATTIS.144,Orange
KATTIS.139,Purple
KATTIS.158,Red
KATTIS.132,Vermillion
KATTIS.148,Yellow
KATTIS.154,McGreedy
KATTIS.115,Monkey Is Typing
KATTIS.51,Mr Bones Rides Again
KATTIS.74,Spartans
KATTIS.129,MTA Binary Bears
KATTIS.130,MTA KattisKrackers
KATTIS.88,Mycraft
GNY.53,6 7
GNY.58,BogoSortEnjoyers
GNY.66,Dragons
GNY.55,JumpOuts
GNY.59,SegFaults
GNY.63,WIC
KATTIS.153,NERV
KATTIS.13,Neural Nexus
KATTIS.134,NoCoderFoundException
KATTIS.48,Nth Times the Charm
GNY.57,Codependence
GNY.54,Team2
GNY.50,Team3
GNY.52,Team4
GNY.56,Team5
GNY.51,Team6
KATTIS.172,O(1) No Bugs
KATTIS.142,O(win)
KATTIS.35,Green
KATTIS.45,White
KATTIS.170,Engineers 1
KATTIS.176,Engineers 2
KATTIS.95,Orz
KATTIS.49,Gray
KATTIS.53,Scarlet
KATTIS.37,White
KATTIS.163,Green
KATTIS.40,Bishops
KATTIS.28,Packeechore
KATTIS.145,panda express
KATTIS.32,Penguin Programmers
KATTIS.44,PeoplePeople
KATTIS.118,Pink Griffins
KATTIS.9,Polaris
GNY.46,1
GNY.49,2
GNY.41,3
GNY.45,4
GNY.83,5
KATTIS.93,Potatoto
GNY.81,1
GNY.79,2
GNY.77,3
GNY.80,4
GNY.78,5
KATTIS.47,Black
KATTIS.113,Puppies
KATTIS.60,Celestial Wombat
KATTIS.67,Chromatic Bagel
KATTIS.65,Cosmic Pancake
KATTIS.66,Frosted Entropy
KATTIS.62,Hyperbolic Latte
KATTIS.68,Polymorphic Pretzel
KATTIS.58,Quantum Crumpet
KATTIS.61,Recursive Mango
GNY.67,1
GNY.62,2
KATTIS.160,1
KATTIS.162,2
KATTIS.165,3
KATTIS.164,4
KATTIS.166,5
KATTIS.161,6
KATTIS.92,Roblox
KATTIS.167,Blue
KATTIS.8,Runtime Error
KATTIS.31,"Runtime Terror, Control Alt Elite, Project Lambda"
KATTIS.143,Runtime terrors
GNY.40,likely asleep
GNY.60,GymBros
GNY.61,Team-A
GNY.64,Team-C
GNY.65,Team-D
GNY.68,Team-E
KATTIS.96,Gold
KATTIS.97,Green
KATTIS.87,Code Husky Mission
KATTIS.106,Sneaky Golem
KATTIS.52,Sunflower Squad
KATTIS.79,ATM
KATTIS.83,Hibernate
KATTIS.121,Syscalls are bloat
KATTIS.116,T Dogs
KATTIS.179,Team 1
KATTIS.181,Team 2
KATTIS.180,Team 3
KATTIS.94,TeamTeamTeam
KATTIS.57,Terminal Titans
GNY.12,The 3 Stooges
GNY.14,The Ball Masters
KATTIS.149,The Boss
KATTIS.135,The Charlies and the Saoul
KATTIS.86,The Final Symphony
KATTIS.56,The Loop Troop
KATTIS.91,The Segfaults
GNY.11,The Turing Machines
KATTIS.5,Three Pointers
KATTIS.16,Blue
KATTIS.18,Gold
KATTIS.108,Touchdown Draft
GNY.86,LCM-1
GNY.84,M1
GNY.69,W2
GNY.82,W3
KATTIS.90,Tre'VaughnQuavious
KATTIS.128,Triple Ninjas
KATTIS.168,TryOurBest
KATTIS.69,UC
KATTIS.156,UDEM_2
KATTIS.136,UDEM_4
KATTIS.131,UDEM_5
KATTIS.72,Titans
KATTIS.171,HKG
KATTIS.169,LLMao
KATTIS.124,Team 1
KATTIS.120,Team 2
KATTIS.126,Team 3
KATTIS.2,A
KATTIS.25,B
KATTIS.14,C
KATTIS.24,D
KATTIS.17,E
KATTIS.122,Panthers Green
KATTIS.127,Panthers Rust
KATTIS.159,URTrollestOpponent
KATTIS.3,Amber
KATTIS.1,Burgundy
KATTIS.20,Black
KATTIS.22,Gold
KATTIS.15,Red
KATTIS.12,White
KATTIS.71,Valiant
KATTIS.173,ValueException
KATTIS.77,Victors
GNY.7,W1
KATTIS.7,while true Brute Force
KATTIS.155,Wooperz
KATTIS.59,Gold
KATTIS.64,Green
KATTIS.123,X-abytes
KATTIS.150,YAHALLO World
GNY.48,AWE
GNY.43,Bumblebee
GNY.70,Dolphin
GNY.44,Ladybug
