team_id,short_name,hash_tag,computer_id,grabber_ip
nef772709,KRSU: 1,ala8,A08,10.128.0.1
nef772710,KGiAI: ToB,ala11,A11,10.128.0.1
nef772711,AUCA: ZXC,ala14,A14,10.128.0.1
nef772712,IAU: nothing to code,ala18,A18,10.128.0.1
nef772713,KyrgyzTU: 2,ala21,A21,10.128.0.1
nef772714,UCA: Fortuna,ala24,A24,10.128.0.1
nef772715,AUCA: undefined,ala28,A28,10.128.0.1
nef772716,UCA: ATWOT,ala32,A32,10.128.0.1
nef772717,Kyrgyz-Turkey Manas U: 5,ala42,A42,10.128.0.1
nef772718,UCA: Outsiders,ala45,A45,10.128.0.1
nef772719,AUCA: MicroHumans,ala49,A49,10.128.0.1
nef772720,UCA: Hooks,ala54,A54,10.128.0.1
nef772721,UCA: SeniorS,ala62,A62,10.128.0.1
nef772722,UCA: Preps,ala67,A67,10.128.0.1
nef772723,UCA: Tourists,ala38,A38,10.128.0.1
nef780302,YarSU: 14: MMM,spb16,016,10.25.3.59
nef780303,TulaSU: 2: Accepted_and_point,spb112,112,10.25.3.59
nef780304,OrelSU: 1: CatForces,spb113,113,10.25.3.59
nef780305,NArFU: 2,spb131,131,10.25.3.59
nef780306,Tver SU: 1: Guerilla Gorillas,spb59,059,10.25.3.59
nef780307,RSATU: #1,spb101,101,10.25.3.59
nef780309,YarSU: 23: AmateraSU,spb88,088,10.25.3.59
nef780537,Kazakh-British TU: DeoxyriboNucleic Acid,ala1,A01,10.128.0.1
nef780538,IITU: Aztec Gods of fitness,ala2,A02,10.128.0.1
nef780539,AITU: 2,ala3,A03,10.128.0.1
nef780540,Nazarbayev U: wf or gf?,ala5,A05,10.128.0.1
nef780541,AITU: 1,ala9,A09,10.128.0.1
nef780543,Kazakh-British TU: Unexpected,ala12,A12,10.128.0.1
nef780544,IITU: Defective Memory,ala15,A15,10.128.0.1
nef780545,Nazarbayev U: Bludnitsy,ala19,A19,10.128.0.1
nef780563,Nazarbayev U: 1.1,ala33,A33,10.128.0.1
nef780564,Nazarbayev U: The Glider,ala44,A44,10.128.0.1
nef780565,SDU: 1,ala22,A22,10.128.0.1
nef780566,Kazakh-British TU: LaGoona Goo,ala25,A25,10.128.0.1
nef780567,Kazakh-British TU: Should you be here?,ala37,A37,10.128.0.1
nef780568,AITU: 3,ala29,A29,10.128.0.1
nef780569,Kazakh-British TU: Undertrained,ala48,A48,10.128.0.1
nef780570,IITU: Akvelon Team,ala41,A41,10.128.0.1
nef780571,IITU: ur mamaso,ala52,A52,10.128.0.1
nef780572,"Nazarbayev U: Please, relocate randomly.",ala55,A55,10.128.0.1
nef780573,* KazNU: - Solo,ala59,A59,10.128.0.1
nef780574,AITU: 4,ala63,A63,10.128.0.1
nef780575,SDU: 5,ala35,A35,10.128.0.1
nef780576,"SDU: Kak dela v ka4alke, pasany?",ala46,A46,10.128.0.1
nef780577,SDU: 3,ala57,A57,10.128.0.1
nef780578,Karaganda SU: Buketov Team,ala61,A61,10.128.0.1
nef780596,KazNU: 2 - SEN,ala65,A65,10.128.0.1
nef780597,KazNTU: SU#I,ala68,A68,10.128.0.1
nef780598,AIPET: -3,ala70,A70,10.128.0.1
nef780599,KazNTU: SU#II,ala7,A07,10.128.0.1
nef780600,KazNU: 3 - DAD,ala17,A17,10.128.0.1
nef780601,* AIPET: -200,ala39,A39,10.128.0.1
nef780602,CSUT&E: RAY,ala50,A50,10.128.0.1
nef780606,KSTU: 1,ala31,A31,10.128.0.1
nef780607,Narxoz University: Jusy do IT,ala27,A27,10.128.0.1
nef780665,SPb ITMO: pengzoo,spb21,021,10.25.3.59
nef780666,SPb SU: Willing to chill in WF,spb137,137,10.25.3.59
nef780667,SPb SU: 36,spb141,141,10.25.3.59
nef780668,SPb SU: Urgant Team,ala4,A04,10.128.0.1
nef780669,SPb SU: 25,spb14,014,10.25.3.59
nef780670,SPb SU: Demid Is Chelyabinsk King,spb10,010,10.25.3.59
nef780671,SPb ITMO: Unexpected Value,spb89,089,10.25.3.59
nef780672,SPb ITMO: optimized out,spb117,117,10.25.3.59
nef780673,SPb HSE: jaba,spb7,007,10.25.3.59
nef780674,SPb ITMO: Cataleptodius,spb157,157,10.25.3.59
nef780675,SPb HSE: Just3Keks,spb94,094,10.25.3.59
nef780676,SPb ITMO: I don't know,spb48,048,10.25.3.59
nef780677,Petrozavodsk SU: belyashes with kittens,spb87,087,10.25.3.59
nef780678,Petrozavodsk SU: _ = (1 - q^n) / (1 - q),spb177,177,10.25.3.59
nef780679,Petrozavodsk SU: Aboba,spb95,095,10.25.3.59
nef780680,SPb SU of AI: MegaSmetanka,spb33,033,10.25.3.59
nef780681,SPb SU of AI: 0x60D7EA44,spb119,119,10.25.3.59
nef780682,SPb ETU: Belaruskiya krakadzily,spb161,161,10.25.3.59
nef780683,Mil A of Comm: Number One,spb67,067,10.25.3.59
nef780684,SPb SU of Telecom: BonchBotz.SUT,spb160,160,10.25.3.59
nef788026,Ural FU: Re:Fresh,spb106,106,10.25.3.59
nef788027,Ural FU: what is happening,spb149,149,10.25.3.59
nef788028,Ural FU: i dont walk with washing powder,spb111,111,10.25.3.59
nef788029,Perm SNRU: Cat$,spb156,156,10.25.3.59
nef788030,Ural FU: Cucumber Juice 73,spb61,061,10.25.3.59
nef788031,Chelyabinsk SU: Eternity,spb73,073,10.25.3.59
nef788032,Izhevsk STU: Skill++,spb23,023,10.25.3.59
nef788054,Perm NRPU: Azkaban's Axiom,spb69,069,10.25.3.59
nef788055,Perm SNRU: longlong nelzya int,spb45,045,10.25.3.59
nef788056,Izhevsk STU: People++,spb80,080,10.25.3.59
nef788057,Ufa SATU: WeHaveABreak,spb70,070,10.25.3.59
nef788058,South Ural SU: Hydra,spb6,006,10.25.3.59
nef788059,South Ural SU: Pivosaurus,spb174,174,10.25.3.59
nef788060,Izhevsk STU: ZEDbl,spb120,120,10.25.3.59
nef788061,South Ural SU: Three-headed programmer,spb90,090,10.25.3.59
nef788062,Tyumen IU: kriper2004,spb76,076,10.25.3.59
nef788063,Ufa SATU: God`s Choice,spb132,132,10.25.3.59
nef788064,Orenburg SU: Feel Good ©,spb49,049,10.25.3.59
nef788065,Tyumen SU: import.math,spb118,118,10.25.3.59
nef788066,Perm NRPU: PythonTrio,spb175,175,10.25.3.59
nef788067,Perm HSE: ALKgo!,spb78,078,10.25.3.59
nef788068,Ural FU: If True,spb57,057,10.25.3.59
nef788318,HSE: FFTilted,spb84,084,10.25.3.59
nef788319,MIPT: Log-rank conjecture,spb17,017,10.25.3.59
nef788320,MIPT: Machula's fun club,spb77,077,10.25.3.59
nef788321,MIPT: Yolki-palki,spb55,055,10.25.3.59
nef788323,HSE: FAT,spb25,025,10.25.3.59
nef788324,HSE: Elderly Passion Fruit,spb150,150,10.25.3.59
nef788325,MIPT: SkyFall,spb133,133,10.25.3.59
nef788326,MAI: #1,spb63,063,10.25.3.59
nef788327,HSE: It Has To Work,spb142,142,10.25.3.59
nef788328,"MIPT: Emil, we are with you",spb97,097,10.25.3.59
nef788329,MIPT: Pshimaf Naniz,spb124,124,10.25.3.59
nef788330,MISiS: Eva Fan Club,spb105,105,10.25.3.59
nef788331,MISiS: Yams,spb164,164,10.25.3.59
nef788332,Moscow SU: apes together strong,spb15,015,10.25.3.59
nef788334,Skoltech: Caravella,spb162,162,10.25.3.59
nef788335,MEPhI: Useless but powerful,spb114,114,10.25.3.59
nef788336,MPSU: Brain Limit,spb98,098,10.25.3.59
nef788337,"Moscow SU: Meanwhile, Elk, MrF & YaV",spb41,041,10.25.3.59
nef788338,MAI: #4,spb71,071,10.25.3.59
nef788340,MISiS: 206 kg Ivana Yakimova,spb126,126,10.25.3.59
nef788341,MAI: #2,spb165,165,10.25.3.59
nef788342,MISiS: Stop this round,spb31,031,10.25.3.59
nef788344,BMSTU: 30 seconds to parse,spb5,005,10.25.3.59
nef788345,MISiS: Fiksiki,spb38,038,10.25.3.59
nef788346,Moscow SU: broken cisgenders,spb167,167,10.25.3.59
nef788347,Moscow SU: otolob2,spb129,129,10.25.3.59
nef788349,Financial U: Nails,spb145,145,10.25.3.59
nef788350,RosNOU: RNUteam,spb36,036,10.25.3.59
nef788351,Moscow Tech U MIREA: Team 11,spb68,068,10.25.3.59
nef788352,MEPhI: -3iq,spb32,032,10.25.3.59
nef788353,MTUCI: Sigma Chad Machines,spb65,065,10.25.3.59
nef788390,Vologda SU: 1,spb107,107,10.25.3.59
