team_id,icpc_id
spb211,1036031
spb534,1036032
spb213,1036033
spb624,1036034
spb507,1036035
spb522,1036036
spb303,1036037
spb134,1036038
spb307,1036039
spb424,1036040
spb405,1036041
spb316,1036042
spb224,1036043
spb328,1036045
spb212,1036046
spb435,1036047
spb623,1036048
spb711,1036049
spb315,1036050
spb323,1036051
spb223,1036052
spb305,1036053
spb606,1036054
spb511,1036056
spb208,1038730
spb226,1038731
spb402,1038732
spb514,1038733
spb616,1038734
spb124,1038735
spb318,1038736
spb334,1038737
spb508,1038738
spb525,1038739
spb304,1038740
spb613,1038741
spb631,1038742
spb604,1038743
spb125,1038744
spb324,1038745
spb502,1038746
spb632,1038747
spb707,1038748
spb412,1038749
spb126,1039115
spb416,1039116
spb317,1039117
spb322,1039118
spb504,1039119
spb605,1039120
spb712,1039121
spb634,1039122
spb513,1039123
spb237,1039124
spb533,1039125
spb418,1039126
spb131,1039127
spb626,1039128
spb516,1039129
spb222,1039130
spb531,1039131
spb506,1039132
spb336,1039133
spb302,1039134
spb426,1039135
kaz075,1039141
kaz016,1039142
kaz077,1039143
kaz037,1039144
kaz033,1039145
kaz011,1039146
kaz010,1039147
kaz060,1039149
kaz013,1039150
kaz044,1039151
kaz020,1039154
kaz088,1039156
kaz035,1039161
spb338,1039192
kaz018,1039193
kaz034,1039194
kaz024,1039195
kaz049,1039197
kaz070,1039198
kaz079,1039199
kaz082,1039200
kaz039,1039201
kaz058,1039202
kaz056,1039203
kaz046,1039204
kaz064,1039205
kaz057,1039206
spb423,1039212
spb407,1039213
spb633,1039214
spb136,1039237
spb225,1039238
spb132,1039239
spb408,1039240
spb517,1039241
spb526,1039242
spb214,1039243
spb238,1039244
spb411,1039245
spb434,1039246
spb524,1039247
spb637,1039248
spb203,1039249
spb715,1039250
spb627,1039251
spb205,1039252
spb311,1039253
spb135,1039254
spb403,1039255
spb206,1039256
spb537,1039257
spb603,1039258
spb234,1039259
spb313,1039260
spb235,1039261
spb406,1039262
spb331,1039263
spb128,1039264
spb228,1039265
spb515,1039266
spb538,1039267
spb615,1039268
spb414,1039269
spb417,1039270
spb438,1039271
spb428,1039272
spb614,1039273
spb215,1039295
spb308,1039296
spb337,1039297
spb216,1039298
spb436,1039299
spb611,1039300
spb704,1039301
spb207,1039302
spb232,1039303
spb415,1039304
spb427,1039305
spb607,1039306
spb625,1039307
spb505,1039308
spb422,1039309
spb231,1039310
spb437,1039311
spb327,1039312
spb413,1039315
spb333,1039316
spb127,1039317
spb326,1039334
spb306,1039335
spb227,1039336
spb612,1039337
spb425,1039338
spb133,1039339
kaz027,1039340
kaz019,1039341
kaz040,1039342
kaz022,1039343
kaz025,1039344
kaz045,1039345
kaz062,1039346
kaz017,1039347
kaz041,1039348
kaz067,1039349
kaz031,1039350
kaz047,1039351
kaz061,1039352
kaz066,1039353
kaz074,1039354
kaz083,1039355
kaz055,1039356
kaz081,1039357
kaz002,1039358
kaz078,1039359
kaz001,1039360
kaz086,1039361
kaz054,1039362
kaz071,1039363
kaz004,1039364
kaz042,1039365
kaz026,1039366
kaz032,1039367
kaz068,1039368
kaz072,1039369
kaz038,1039370
kaz029,1039371
kaz005,1039372
kaz085,1039373
kaz073,1039374
kaz076,1039375
kaz028,1039376
kaz015,1039377
kaz003,1039378
kaz065,1039379
kaz059,1039380
kaz006,1039381
kaz080,1039382
kaz009,1039384
kaz014,1039385
kaz063,1039386
kaz007,1039388
kaz051,1039389
geo033,1039390
geo007,1039391
geo005,1039392
geo016,1039393
spb321,1039394
spb521,1039395
geo055,1039398
geo028,1039399
geo001,1039400
geo046,1039401
spb204,1039406
spb233,1039407
spb335,1039408
spb518,1039409
spb528,1039411
nsk046,1039412
nsk055,1039413
spb312,1039414
nsk031,1039415
spb432,1039416
nsk005,1039417
nsk014,1039419
nsk002,1039420
nsk045,1039421
nsk026,1039422
nsk006,1039423
nsk034,1039424
nsk003,1039425
nsk004,1039426
nsk051,1039427
nsk022,1039428
nsk053,1039429
nsk015,1039430
nsk043,1039431
spb404,1039435
