team_id,id,icpc_id,name,display_name,group_ids,organization_id
spb408,1112226,1112226,Muffix Sassif,Muffix Sassif,37944,8827
spb412,1112227,1112227,pomidodora,pomidodora,37944,1338
spb426,1112229,1112229,Old but Gold,Old but Gold,37944,7857
spb434,1112230,1112230,Late to the Party,Late to the Party,37944,1623
spb326,1112231,1112231,OUTATIME,OUTATIME,37944,1338
spb504,1112232,1112232,Hamster Bad Treap,Hamster Bad Treap,37944,993
spb516,1112233,1112233,Dikaya slivayka,Dikaya slivayka,37944,1338
spb528,1112234,1112234,Voronezh SU C,Voronezh SU C,37944,2663
spb403,1112235,1112235,ЗАВРЫ,ЗАВРЫ,37944,1623
spb308,1112236,1112236,net(,net(,37944,7857
spb336,1112237,1112237,WA on test 1,WA on test 1,37944,8830
spb534,1112238,1112238,2-tas,2-tas,37944,7505
spb612,1112240,1112240,Singularity Hub 1,Singularity Hub 1,37944,26225
spb313,1112241,1112241,hop on doreshka,hop on doreshka,37944,1623
spb419,1112242,1112242,Dorogu Osilit Idushiy,Dorogu Osilit Idushiy,37944,8827
spb421,1112243,1112243,Penza SU A,Penza SU A,37944,1447
spb519,1112244,1112244,Volgograd STU 1,Volgograd STU 1,37944,2659
spb606,1112245,1112245,Brain Damaged,Brain Damaged,37944,8827
spb523,1112246,1112246,Team A,Team A,37944,993
spb537,1112249,1112249,Official representatives of PascalABC.NET,Official representatives of PascalABC.NET,37944,1548
spb629,1112250,1112250,Fans of kuhnya,Fans of kuhnya,37944,1338
spb211,1112251,1112251,Aho-Ko$arik,Aho-Ko$arik,37944,3517
spb225,1112252,1112252,Not Mordor,Not Mordor,37944,1210
spb235,1112257,1112257,title,title,37944,11128
spb303,1112259,1112259,Inflation,Inflation,37944,993
spb711,1112260,1112260,Singularity Hub 2,Singularity Hub 2,37944,26225
spb634,1112262,1112262,chin chopa,chin chopa,37944,1336
spb129,1112264,1112264,NAS_orda,NAS_orda,37944,1623
spb207,1112267,1112267,TSU 1,TSU 1,37944,1868
kaz024,1119018,1119018,Integrity in Innovative Al-Khwizard Uplift,Integrity in Innovative Al-Khwizard Uplift,37942,15135
kaz083,1119019,1119019,Tourists,Tourists,37942,7851
kaz015,1119020,1119020,Accountants,Accountants,37942,1887
kaz007,1119021,1119021,Tomorrow's Problem,Tomorrow's Problem,37942,20287
kaz052,1119022,1119022,Awesome Team,Awesome Team,37942,3556
kaz048,1119023,1119023,"Don't panic, Sirojiddin!","Don't panic, Sirojiddin!",37942,20287
kaz003,1119024,1119024,Three Dinosaurs,Three Dinosaurs,37942,20184
kaz031,1119025,1119025,Asteroids,Asteroids,37942,20184
spb513,1119928,1119928,kak nibud,kak nibud,37944,2044
spb436,1119929,1119929,O(0),O(0),37944,2738
spb325,1119930,1119930,blblbl,blblbl,37944,2738
spb503,1119931,1119931,Sobaka utonula,Sobaka utonula,37944,5731
