team_id,icpc_id
nwq1085551,1085551
nwq1086723,1086723
nwq1086724,1086724
nwq1087626,1087626
nwq1087627,1087627
nwq1087628,1087628
nwq1087629,1087629
nwq1088102,1088102
nwq1088243,1088243
nwq1088244,1088244
nwq1088631,1088631
nwq1088916,1088916
nwq1089221,1089221
nwq1091028,1091028
nwq1091088,1091088
nwq1091090,1091090
nwq1091112,1091112
nwq1091114,1091114
nwq1091116,1091116
nwq1091117,1091117
nwq1091133,1091133
nwq1091245,1091245
nwq1092267,1092267
nwq1092444,1092444
nwq1092525,1092525
nwq1092535,1092535
nwq1092915,1092915
nwq1096894,1096894
nwq1096925,1096925
nwq1096926,1096926
nwq1097934,1097934
nwq1099500,1099500
nwq1099503,1099503
nwq1100071,1100071
nwq1100094,1100094
nwq1100140,1100140
nwq1100927,1100927
nwq1100928,1100928
nwq1100929,1100929
nwq1100930,1100930
nwq1101009,1101009
nwq1101038,1101038
nwq1101043,1101043
nwq1101052,1101052
nwq1101462,1101462
nwq1101823,1101823
nwq1101827,1101827
nwq1101830,1101830
nwq1101899,1101899
nwq1102206,1102206
nwq1102347,1102347
nwq1102594,1102594
nwq1102602,1102602
nwq1102605,1102605
nwq1102607,1102607
nwq1102840,1102840
nwq1102844,1102844
nwq1102849,1102849
nwq1102852,1102852
nwq1102866,1102866
nwq1102867,1102867
nwq1102880,1102880
nwq1102903,1102903
nwq1102981,1102981
nwq1102990,1102990
nwq1102994,1102994
nwq1103004,1103004
nwq1103010,1103010
nwq1103012,1103012
nwq1103101,1103101
nwq1103102,1103102
nwq1103103,1103103
nwq1103104,1103104
nwq1103105,1103105
nwq1103106,1103106
nwq1103141,1103141
nwq1103250,1103250
nwq1103257,1103257
nwq1103404,1103404
nwq1103486,1103486
nwq1103764,1103764
nwq1103812,1103812
nwq1103895,1103895
nwq1103931,1103931
nwq1103932,1103932
nwq1104323,1104323
nwq1104325,1104325
nwq1104550,1104550
nwq1104563,1104563
nwq1104574,1104574
nwq1104594,1104594
nwq1104604,1104604
nwq1104649,1104649
nwq1104652,1104652
nwq1104655,1104655
nwq1104658,1104658
nwq1104723,1104723
nwq1104858,1104858
nwq1104859,1104859
nwq1104860,1104860
nwq1104861,1104861
nwq1104862,1104862
nwq1104864,1104864
nwq1104865,1104865
nwq1104866,1104866
nwq1104867,1104867
nwq1104868,1104868
nwq1104869,1104869
nwq1104870,1104870
nwq1104872,1104872
nwq1104873,1104873
nwq1104874,1104874
nwq1104875,1104875
nwq1104876,1104876
nwq1104878,1104878
nwq1104879,1104879
nwq1104880,1104880
nwq1104881,1104881
nwq1104882,1104882
nwq1104883,1104883
nwq1104884,1104884
nwq1104886,1104886
nwq1104887,1104887
nwq1104888,1104888
nwq1104889,1104889
nwq1104890,1104890
nwq1104891,1104891
nwq1104892,1104892
nwq1104893,1104893
nwq1104894,1104894
nwq1104895,1104895
nwq1104896,1104896
nwq1104897,1104897
nwq1104898,1104898
nwq1104899,1104899
nwq1104900,1104900
nwq1104904,1104904
nwq1104911,1104911
nwq1105177,1105177
nwq1105244,1105244
nwq1105353,1105353
nwq1105364,1105364
nwq1105415,1105415
nwq1105416,1105416
nwq1105422,1105422
nwq1105423,1105423
nwq1105424,1105424
nwq1105425,1105425
nwq1105426,1105426
nwq1105451,1105451
nwq1105457,1105457
nwq1105458,1105458
nwq1105459,1105459
nwq1105460,1105460
nwq1105463,1105463
nwq1105465,1105465
nwq1105470,1105470
nwq1105471,1105471
nwq1105479,1105479
nwq1105480,1105480
nwq1105650,1105650
nwq1105651,1105651
nwq1105657,1105657
nwq1105659,1105659
nwq1105660,1105660
nwq1105703,1105703
nwq1105704,1105704
nwq1105706,1105706
nwq1105707,1105707
nwq1105712,1105712
nwq1105713,1105713
nwq1105714,1105714
nwq1105715,1105715
nwq1105716,1105716
nwq1105717,1105717
nwq1105719,1105719
nwq1105720,1105720
nwq1105722,1105722
nwq1105723,1105723
nwq1105724,1105724
nwq1105725,1105725
nwq1105727,1105727
nwq1105728,1105728
nwq1105732,1105732
nwq1105733,1105733
nwq1105734,1105734
nwq1105735,1105735
nwq1105737,1105737
nwq1105738,1105738
nwq1105746,1105746
nwq1105747,1105747
nwq1105748,1105748
nwq1105749,1105749
nwq1105753,1105753
nwq1105754,1105754
nwq1105755,1105755
nwq1105942,1105942
nwq1105943,1105943
nwq1105944,1105944
nwq1105953,1105953
nwq1105967,1105967
nwq1105972,1105972
nwq1105973,1105973
nwq1105974,1105974
nwq1105975,1105975
nwq1105976,1105976
nwq1105977,1105977
nwq1105978,1105978
nwq1105981,1105981
nwq1105983,1105983
nwq1106145,1106145
nwq1106151,1106151
nwq1106212,1106212
nwq1106246,1106246
nwq1106271,1106271
nwq1106275,1106275
nwq1106291,1106291
nwq1106296,1106296
nwq1106299,1106299
nwq1106300,1106300
nwq1106305,1106305
nwq1106306,1106306
nwq1106308,1106308
nwq1106309,1106309
nwq1106310,1106310
nwq1106311,1106311
nwq1106312,1106312
nwq1106341,1106341
nwq1106342,1106342
nwq1106343,1106343
nwq1106347,1106347
nwq1106538,1106538
nwq1106540,1106540
nwq1106541,1106541
nwq1106542,1106542
nwq1106543,1106543
nwq1106673,1106673
nwq1106674,1106674
nwq1106675,1106675
nwq1106676,1106676
nwq1106677,1106677
nwq1106678,1106678
nwq1106679,1106679
nwq1106712,1106712
nwq1106763,1106763
nwq1106777,1106777
nwq1106799,1106799
nwq1106821,1106821
nwq1106832,1106832
nwq1106890,1106890
nwq1106905,1106905
nwq1106957,1106957
nwq1106961,1106961
nwq1107049,1107049
nwq1107071,1107071
nwq1107091,1107091
nwq1107110,1107110
nwq1107114,1107114
nwq1107115,1107115
nwq1107117,1107117
nwq1107118,1107118
nwq1107124,1107124
nwq1107125,1107125
nwq1107129,1107129
nwq1107130,1107130
nwq1107209,1107209
nwq1107349,1107349
nwq1107351,1107351
nwq1107377,1107377
nwq1107378,1107378
nwq1107403,1107403
nwq1107404,1107404
nwq1107525,1107525
nwq1107564,1107564
nwq1107567,1107567
nwq1107589,1107589
nwq1107616,1107616
nwq1107617,1107617
nwq1107682,1107682
nwq1107716,1107716
nwq1107717,1107717
nwq1107719,1107719
nwq1107728,1107728
nwq1107737,1107737
nwq1107750,1107750
nwq1107751,1107751
nwq1107752,1107752
nwq1107774,1107774
nwq1107785,1107785
nwq1107790,1107790
