team_id,icpcid,icpc_id,original_name,university_display_name,group_id,organizationId
spb101,1115012,1115012,<3,St. Petersburg State University,37957,1802
spb102,1117231,1117231,Deprecated 25,St. Petersburg ITMO University,37957,3295
spb103,1117232,1117232,Log'n'roll,St. Petersburg State University,37957,1802
spb109,1117233,1117233,X.,St. Petersburg State University,37957,1802
spb105,1117234,1117234,IUseDeekseekBTW,St. Petersburg ITMO University,37957,3295
spb107,1117235,1117235,2balls,St. Petersburg ITMO University,37957,3295
spb110,1117236,1117236,O(NO),St. Petersburg ITMO University,37957,3295
spb106,1117237,1117237,__illusion_of_thinking__,St. Petersburg Campus of HSE University,37957,9606
spb112,1117238,1117238,UnexpectedTeam,St. Petersburg ITMO University,37957,3295
spb111,1117239,1117239,Sign Extended Xor,St. Petersburg State University,37957,1802
spb117,1117240,1117240,I See Personal Computer,St. Petersburg State University,37957,1802
spb203,1117241,1117241,Basis3d,St. Petersburg State University,37957,1802
spb207,1117242,1117242,oleni,St. Petersburg State University,37957,1802
spb113,1117243,1117243,homomorphisms,St. Petersburg ITMO University,37957,3295
spb211,1117244,1117244,4Ka,St. Petersburg State University,37957,1802
spb108,1117245,1117245,SPb WetPussies,St. Petersburg Campus of HSE University,37957,9606
spb115,1117246,1117246,Haters of the Third Ball,St. Petersburg ITMO University,37957,3295
spb118,1117247,1117247,Molich_not_Official,St. Petersburg ITMO University,37957,3295
spb215,1117248,1117248,Z(function),St. Petersburg State University,37957,1802
spb119,1117249,1117249,"interesting opinion, bench pr?",St. Petersburg ITMO University,37957,3295
spb201,1117250,1117250,lazy-cat-decomposition,St. Petersburg ITMO University,37957,3295
spb205,1117251,1117251,futourists,St. Petersburg ITMO University,37957,3295
spb209,1117252,1117252,4071505,St. Petersburg ITMO University,37957,3295
spb213,1117253,1117253,What the fork,St. Petersburg ITMO University,37957,3295
spb302,1117254,1117254,AKNOHSAM,St. Petersburg ITMO University,37957,3295
spb305,1117255,1117255,Meow princesses,St. Petersburg ITMO University,37957,3295
spb114,1117256,1117256,so7v3r5 club,St. Petersburg Campus of HSE University,37957,9606
spb217,1117257,1117257,Abobusi,St. Petersburg State University,37957,1802
spb307,1117258,1117258,algos payasos,St. Petersburg ITMO University,37957,3295
spb310,1117259,1117259,pivo c banan4ik0m,St. Petersburg ITMO University,37957,3295
spb312,1117260,1117260,BlankSpace,St. Petersburg ITMO University,37957,3295
spb219,1117261,1117261,Kartasheva's fun club,St. Petersburg State University,37957,1802
spb313,1117262,1117262,Ussuriysk department,St. Petersburg ITMO University,37957,3295
spb315,1117263,1117263,The Pentagon's Dread,St. Petersburg ITMO University,37957,3295
spb116,1117264,1117264,Eat spoon by racoon (no caveat),Petrozavodsk State University,37957,1456
spb318,1117265,1117265,goooal,St. Petersburg ITMO University,37957,3295
spb319,1117266,1117266,Kalmyk FM,St. Petersburg ITMO University,37957,3295
spb221,1117267,1117267,DinneR,St. Petersburg State University,37957,1802
spb402,1117268,1117268,Halfcone,St. Petersburg ITMO University,37957,3295
spb403,1117269,1117269,Senpai i 2 baka,St. Petersburg ITMO University,37957,3295
spb406,1117270,1117270,PivotSaurs,St. Petersburg ITMO University,37957,3295
spb407,1117271,1117271,dramaturg shestoi,St. Petersburg ITMO University,37957,3295
spb223,1117272,1117272,CE test2,St. Petersburg State University,37957,1802
