org_id,fullName,displayName
3295,St. Petersburg ITMO University,SPb ITMO
1366,Novgorod State University,NovSU
1456,Petrozavodsk State University,Petrozavodsk SU
1584,St. Petersburg Baltic State Technical University,BSTU
1587,St. Petersburg Polytechnic University,Polytech
1592,St. Petersburg University of Aerospace Instrumentation,SUAI
1772,St. Petersburg State University of Architecture and Civil Engineering,SPSUACE
1802,St. Petersburg State University,St. Petersburg SU
3526,St. Petersburg Academic University,St. Petersburg AU
4325,St. Petersburg State University of Telecommunications,SPb SUT
5320,St. Petersburg Electrotechnical University LETI,SPbETU
5341,Herzen State Pedagogical University,Herzen SPU
5343,Popov Naval Institute of Radio Electronics,Popov Naval I of RE
6536,Pskov State University,Pskov SU
7043,Admiral Makarov State University of Maritime and Inland Shipping,Makarov SU of Maritime and IS
7537,St. Petersburg State University of Economics,SPb SU of Economics
7846,A. Pushkin Leningrad State University,Pushkin Leningrad SU
7935,Military Telecommunications Academy named after the Soviet Union Marshal Budienny S.M.,Budenny Mil Telecom A
9606,St. Petersburg Campus of HSE University,SPb HSE
10354,Mikhailovskaya Military Artillery Academy,MVAA
10615,St. Petersburg State University of Industrial Technologies and Design,SPb SUITD
10617,Murmansk Arctic University,Murmansk AU
10618,Polytechnic College of Novgorod State University,Pol C of Novgorod SU
14046,St. Petersburg State Forest Technical University named after S.M. Kirova,SPbFTU
14047,Military Space Academy,MSA
24938,Military Academy of Logistics,Military A of Logistics
