team_id,place,hall
ural1036369,369-01,369
ural1036349,369-02,369
ural1036343,369-03,369
ural1036365,369-04,369
ural1036383,369-05,369
ural1036328,369-06,369
ural1036368,369-07,369
ural1036331,369-08,369
ural1036384,369-09,369
ural1036338,369-10,369
ural1036326,369-11,369
ural1036339,369-12,369
ural1036379,369-13,369
ural1036393,511-02,511
ural1036392,511-03,511
ural1036389,511-04,511
ural1036386,511-05,511
ural1036388,511-06,511
ural1036399,511-07,511
ural1036378,511-08,511
ural1036394,511-09,511
ural1036401,511-10,511
ural1036361,514-01,514
ural1036345,514-02,514
ural1036332,514-03,514
ural1036381,514-04,514
ural1036341,514-05,514
ural1036367,514-06,514
ural1036353,514-07,514
ural1036366,514-08,514
ural1036336,514-09,514
ural1036382,514-10,514
ural1036352,514-11,514
ural1036377,514-12,514
ural1036340,517-01,517
ural1036354,517-02,517
ural1036356,517-03,517
ural1036355,517-04,517
ural1036373,517-05,517
ural1036344,517-06,517
ural1036371,517-07,517
ural1036359,517-08,517
ural1036364,517-09,517
ural1036319,526-01,526
ural1036321,526-02,526
ural1036360,526-03,526
ural1036313,526-04,526
ural1036324,526-05,526
ural1036323,526-06,526
ural1036334,526-07,526
ural1036405,526-08,526
ural1036342,528-01,528
ural1036406,528-02,528
ural1036357,528-03,528
ural1036325,528-04,528
ural1036347,528-05,528
ural1036316,528-06,528
ural1036363,528-07,528
ural1036335,528-08,528
ural1036362,369а-01,369а
ural1036346,369а-02,369а
ural1036327,369а-03,369а
ural1036318,369а-04,369а
ural1036322,369а-05,369а
ural1036350,369а-06,369а
ural1036351,369а-08,369а
ural1036348,511-01,511
