team_id,organization_id
spb101,default
spb102,spb_239
spb103,spb_yumsh
spb104,default
spb105,spb_ag
spb106,spb_30
spb107,spb_162
spb108,default
spb109,default
spb110,spb_30
spb111,spb_617
spb112,spb_239
spb113,spb_it
spb114,spb_mshp
spb115,default
spb116,spb_30
spb117,spb_suvorov
spb118,default
spb119,spb_239
spb120,spb_30
spb201,default
spb202,default
spb203,default
spb204,spb_30
spb205,spb_mshp
spb206,default
spb207,default
spb208,spb_30
spb209,spb_239
spb210,spb_366
spb211,default
spb212,spb_30
spb213,default
spb214,spb_yumsh
spb215,spb_ag
spb216,spb_30
spb217,spb_yumsh
spb218,default
spb219,default
spb220,spb_30
spb221,spb_mshp
spb222,default
spb223,spb_phtsh
spb224,spb_30
spb301,default
spb302,default
spb303,spb_30
spb304,default
spb305,spb_239
spb306,default
spb307,spb_mshp
spb308,spb_suvorov
spb309,spb_30
spb310,default
spb311,spb_30
spb312,default
spb313,spb_533
spb314,default
spb315,default
spb316,default
spb317,default
spb318,default
spb319,spb_239
spb320,spb_mshp
spb401,default
spb402,default
spb403,default
spb404,default
spb405,default
spb406,spb_239
spb407,default
spb408,spb_ag
spb409,spb_292
spb410,default
spb411,spb_30
spb412,spb_mshp
spb413,default
spb414,spb_mshp
spb415,default
spb416,default
spb417,spb_30
spb418,spb_mshp
spb419,default
spb420,spb_239
spb421,default
spb422,spb_mshp
spb423,default
spb424,default
spb425,spb_30
spb426,default
spb427,spb_mshp
spb428,spb_239
spb429,spb_30
spb430,default
spb431,spb_mshp
spb432,default
spb433,default
spb434,spb_239
spb435,spb_mshp
spb436,default
