team_id,peerName
154739,18Ж
154740,18И
154741,3З
154742,2Ж
154743,6З
154744,11А
154745,14З
154746,42Д
154747,9Е
154748,17Ж
154749,29З
154750,17Б
154751,null
154752,14Л
154753,15
154754,37Е
154755,5Л
154756,27Д
154757,25А
154758,22З
154759,null
154760,29А
154761,38Ж
154762,34А
154763,4Ж
154764,8Г
154765,23Д
154766,34Б
154767,5Г
154768,null
154769,30Б
154770,29Ж
154771,7Е
154772,1Г
154773,39Д
154774,15Д
154775,37
154776,42Г
154777,8Б
154778,6И
154779,44З
154780,8Е
154781,30Д
154782,7З
154783,23Е
154784,3К
154785,16И
154786,48
154787,42Е
154788,24Д
154789,38В
154790,13К
154791,43А
154792,12Е
154793,40Е
154794,7Г
154795,12К
154796,17З
154797,14К
154798,36Б
154799,11К
154800,5Е
154801,40Ж
154802,38З
154803,null
154804,31З
154805,18Б
154806,13З
154807,40Г
154808,8К
154809,26З
154810,17Л
154811,44В
154812,10М
154813,41Б
154814,25Е
154815,3А
154816,33Д
154817,4И
154818,22Е
154819,29Е
154820,3Ж
154821,6Ж
154822,37Г
154823,26В
154824,16Д
154825,8Д
154826,11Б
154827,40В
154828,25Ж
154829,1Л
154830,1М
154831,6А
154832,1Б
154833,95
154834,null
154835,30Е
154836,22Ж
154837,2М
154838,14И
154839,12А
154840,43Г
154841,7И
154842,2З
154843,null
154844,35Ж
154845,28Г
154846,12В
154847,17Е
154848,38А
154849,6Л
154850,7К
154851,11Л
154852,9Д
154853,null
154854,12Д
154855,22Д
154856,40А
154857,4Е
154858,10Ж
154859,41Г
154860,44Д
154861,34Ж
154862,6Г
154863,1К
154864,14Ж
154865,null
154866,24Е
154867,43В
154868,9Ж
154869,1Д
154870,35З
154871,15И
154872,15Б
154873,37Ж
154874,11Д
154875,34Г
154876,15З
154877,7А
154878,3В
154879,27Г
154880,31Ж
154881,26Ж
154882,10К
154883,17В
154884,13А
154885,31Г
154886,35Е
154887,16Г
154888,35В
154889,11В
154890,7Ж
154891,29Б
154892,33Б
154893,24Б
154894,3И
154895,6Б
154896,36В
154897,14М
154898,null
154899,null
154900,5Б
154901,13Д
154902,11Е
154903,41Д
154904,7В
154905,30В
154906,36Г
154907,8И
154908,11М
154909,14В
154910,44А
154911,173
154912,null
154913,27Б
154914,3М
154915,11И
154916,27В
154917,32Ж
154918,3Л
154919,null
154920,23Ж
154921,37А
154922,33Е
154923,39Г
154924,16Е
154925,23А
154926,2Л
154927,16Б
154928,9М
154929,29В
154930,8З
154931,44Е
154932,27Е
154933,18Л
154934,13Л
154935,17М
154936,6Е
154937,7Д
154938,37З
154939,null
154940,22А
154941,4Л
154942,null
154943,17А
154944,23Г
154945,9В
154946,33В
154947,35Д
154948,8В
154949,4З
154950,15А
154951,16З
154952,23З
154953,24Г
154954,5З
154955,2В
154956,12Б
154957,12Ж
154958,34Е
154959,1Е
154960,8А
154961,8Л
154962,30А
154963,28Б
154964,28Д
154965,12Г
154966,32Е
154967,26Г
154968,10И
154969,9Л
154970,37Д
154971,15Е
154972,28Ж
154973,25В
154974,32А
154975,17К
154976,43Ж
154977,3Б
154978,18А
154979,25Д
154980,2И
154981,33Г
154982,4М
154983,25Б
154984,246
154985,40Б
154986,null
154987,249
154988,5Д
154989,23В
154990,2К
154991,5К
154992,40З
154993,39А
154994,null
154995,4Г
154996,8Ж
154997,16А
154998,3Е
154999,35Б
155000,7М
155001,41Е
155002,13Г
155003,10А
155004,18В
155005,15Ж
155006,13В
155007,18Г
155008,null
155009,14Г
155010,9З
155011,null
155012,274
155013,28В
155014,43З
155015,22Г
155016,10Д
155017,26Е
155018,10Е
155019,12З
155020,7Л
155021,13Ж
155022,null
155023,18З
155024,9Г
155025,38Д
155026,4А
155027,10Л
155028,6Д
155029,null
155030,5В
155031,null
155032,42В
155033,26Б
155034,3Г
155035,36Д
155036,42Б
155037,13М
155038,4В
155039,4Б
155040,302
155041,5А
155042,18К
155043,6В
155044,null
155045,33А
155046,3Д
155047,43Б
155048,39В
155049,2Д
155050,10В
155051,null
155052,43Е
155053,null
155054,13Е
155055,39Е
155056,10Г
155057,18М
155058,41З
155059,2Г
155060,13И
155061,44Б
155062,22В
155063,1А
155064,7Б
155065,31В
155066,11Ж
155067,32В
155068,14Б
155069,4К
155070,42А
155071,15М
155072,null
155073,1Ж
155074,31Б
155075,null
155076,2Б
155077,12Л
155078,null
155079,38Е
155080,17Г
155081,16М
155082,11З
155083,5И
155084,32Д
155085,347
155086,28Е
155087,2А
155088,1З
155089,15Г
155090,32З
155091,17И
155092,39Б
155093,null
155094,37В
155095,9А
155096,31Д
155097,41Ж
155098,9И
155099,null
155100,9Б
155101,44Ж
155102,null
155103,26Д
155104,11Г
155105,8М
155106,14Е
155107,37Б
155108,32Б
155109,null
155110,24А
155111,15Л
155112,18Е
155113,6М
155114,null
155115,14Д
155116,14А
155117,23Б
155118,32Г
155119,34В
155120,16Ж
155121,4Д
155122,5М
155123,24В
155124,10Б
155125,null
155126,null
155127,2Е
155128,13Б
155129,12И
155130,16В
155131,12М
155132,36А
155133,29Д
155134,38Б
155135,28А
155136,26А
155137,15К
155138,22Б
155139,41А
155140,5Ж
155141,25Г
155142,1В
155143,null
155144,16Л
155145,43Д
155146,31А
155147,25З
155148,10З
155149,null
155150,16К
155151,34З
155152,30Г
155153,18Д
155154,null
155155,417
155156,15В
155157,17Д
155158,null
155159,9К
155160,null
155161,null
155162,null
155163,null
155164,null
155165,null
155166,null
155167,null
155168,null
155169,null
155170,null
155171,null
155172,null
155173,null
