2024-12-06 14:49:43.166 [eventLoopGroupProxy-4-10] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /admin/assets/index-apgNgke6.js in 14728ms
2024-12-06 14:49:43.432 [eventLoopGroupProxy-4-1] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/overlay/visualConfig.json in 3ms
2024-12-06 14:49:43.433 [eventLoopGroupProxy-4-2] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/admin/statistics/ in 1ms
2024-12-06 14:49:43.433 [eventLoopGroupProxy-4-4] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/admin/ticker/ in 1ms
2024-12-06 14:49:43.434 [eventLoopGroupProxy-4-5] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/admin/queue/ in 1ms
2024-12-06 14:49:43.434 [eventLoopGroupProxy-4-10] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/admin/scoreboard/ in 1ms
2024-12-06 14:49:43.435 [eventLoopGroupProxy-4-3] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/admin/fullScreenClock/ in 5ms
2024-12-06 14:49:43.494 [eventLoopGroupProxy-4-3] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /api/overlay/visualConfig.json in 3ms
2024-12-06 14:49:44.387 [eventLoopGroupProxy-4-3] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /admin/icon-192x192.png in 230ms
2024-12-06 14:49:45.337 [eventLoopGroupProxy-4-3] INFO  Application - ␛[32m200 OK␛[m: ␛[36mGET␛[m - /admin/manifest.json in 224ms
2024-12-06 14:49:48.757 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.attributes.name, value=47852@f8bb092ff30c
2024-12-06 14:49:48.757 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.attributes.uptime, value=261723
2024-12-06 14:49:48.757 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.attributes.vendor, value=Private Build OpenJDK 64-Bit Server VM 17.0.10+7-Ubuntu-122.04.1 (17)
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.files, value=0.0021600723266601562
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.garbage.G1-Old-Generation.count, value=4
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.garbage.G1-Old-Generation.time, value=319
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.garbage.G1-Young-Generation.count, value=203
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.garbage.G1-Young-Generation.time, value=893
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.heap.committed, value=35651584
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.heap.init, value=127926272
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.heap.max, value=1073741824
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.heap.usage, value=0.02183714509010315
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.heap.used, value=23447456
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.non-heap.committed, value=77987840
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.non-heap.init, value=7667712
2024-12-06 14:49:48.760 [metrics-logger-reporter-1-thread-1] INFO  Application - type=GAUGE, name=jvm.memory.non-heap.max, value=-1
